Date	End Time	Global Solar	Incident Solar	AC Primary Load	PV Power	AC Prim. Served	Excess Electricity	Unmet Load	Capacity Shortage	Inverter Input Power	Inverter Output Power	Rectifier Input Power	Rectifier Output Power	Battery Input Power	Battery State of Charge	Battery Energy Cost
		kW/m2	kW/m2	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	%	$/kWh
Jan 1	1:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	2:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	3:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	4:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	5:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	6:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	7:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	8:00	0.022	0.022	0.000	0.005	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	9:00	0.057	0.057	0.002	0.013	0.002	0.011	0.000	0.000	0.002	0.002	0.000	0.000	0.000	100.000	0.000
Jan 1	10:00	0.115	0.114	0.004	0.026	0.004	0.021	0.000	0.000	0.004	0.004	0.000	0.000	0.000	100.000	0.000
Jan 1	11:00	0.014	0.014	0.007	0.003	0.007	0.000	0.000	0.000	0.008	0.007	0.000	0.000	-0.005	99.659	0.000
Jan 1	12:00	0.007	0.007	0.001	0.002	0.001	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	99.659	0.000
Jan 1	13:00	0.120	0.120	0.000	0.027	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.004	99.851	0.000
Jan 1	14:00	0.110	0.110	0.000	0.025	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.001	99.927	0.000
Jan 1	15:00	0.047	0.047	0.000	0.010	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.001	99.964	0.000
Jan 1	16:00	0.022	0.022	0.000	0.005	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.982	0.000
Jan 1	17:00	0.069	0.069	0.000	0.015	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.991	0.000
