Date	End Time	Global Solar	Incident Solar	AC Primary Load	PV Power	AC Prim. Served	Excess Electricity	Unmet Load	Capacity Shortage	Inverter Input Power	Inverter Output Power	Rectifier Input Power	Rectifier Output Power	Battery Input Power	Battery State of Charge	Battery Energy Cost
		kW/m2	kW/m2	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	%	$/kWh
Jan 1	1:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	99.913	0.000
Jan 1	2:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.913	0.000
Jan 1	3:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.913	0.000
Jan 1	4:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.913	0.000
Jan 1	5:00	0.000	0.000	0.002	0.000	0.002	0.000	0.000	0.000	0.002	0.002	0.000	0.000	-0.002	99.038	0.000
Jan 1	6:00	0.000	0.000	0.001	0.000	0.001	0.000	0.000	0.000	0.001	0.001	0.000	0.000	-0.001	98.732	0.000
Jan 1	7:00	0.000	0.000	0.008	0.000	0.008	0.000	0.000	0.000	0.009	0.008	0.000	0.000	-0.009	95.234	0.000
Jan 1	8:00	0.022	0.022	0.010	0.001	0.010	0.000	0.000	0.000	0.011	0.010	0.000	0.000	-0.010	91.265	0.000
Jan 1	9:00	0.057	0.057	0.007	0.002	0.007	0.000	0.000	0.000	0.008	0.007	0.000	0.000	-0.006	88.873	0.000
Jan 1	10:00	0.115	0.114	0.007	0.004	0.007	0.000	0.000	0.000	0.007	0.007	0.000	0.000	-0.004	87.384	0.000
Jan 1	11:00	0.014	0.014	0.007	0.000	0.007	0.000	0.000	0.000	0.007	0.007	0.000	0.000	-0.007	84.631	0.000
Jan 1	12:00	0.007	0.007	0.003	0.000	0.003	0.000	0.000	0.000	0.003	0.003	0.000	0.000	-0.003	83.410	0.000
Jan 1	13:00	0.120	0.120	0.010	0.004	0.010	0.000	0.000	0.000	0.011	0.010	0.000	0.000	-0.007	80.637	0.000
Jan 1	14:00	0.110	0.110	0.007	0.004	0.007	0.000	0.000	0.000	0.008	0.007	0.000	0.000	-0.005	78.832	0.000
Jan 1	15:00	0.047	0.047	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	79.303	0.000
Jan 1	16:00	0.022	0.022	0.002	0.001	0.002	0.000	0.000	0.000	0.002	0.002	0.000	0.000	-0.002	78.623	0.000
Jan 1	17:00	0.069	0.069	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	79.317	0.000
Jan 1	18:00	0.048	0.048	0.007	0.002	0.007	0.000	0.000	0.000	0.007	0.007	0.000	0.000	-0.006	77.034	0.000
Jan 1	19:00	0.079	0.072	0.006	0.002	0.006	0.000	0.000	0.000	0.006	0.006	0.000	0.000	-0.004	75.403	0.000
Jan 1	20:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	75.403	0.000
Jan 1	21:00	0.000	0.000	0.004	0.000	0.004	0.000	0.000	0.000	0.004	0.004	0.000	0.000	-0.004	73.828	0.000
Jan 1	22:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.828	0.000
Jan 1	23:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.828	0.000
Jan 2	0:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.828	0.000
Jan 2	1:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.828	0.000
Jan 2	2:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.828	0.000
Jan 2	3:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.828	0.000
Jan 2	4:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.828	0.000
Jan 2	5:00	0.000	0.000	0.003	0.000	0.003	0.000	0.000	0.000	0.003	0.003	0.000	0.000	-0.003	72.517	0.000
Jan 2	6:00	0.000	0.000	0.006	0.000	0.006	0.000	0.000	0.000	0.006	0.006	0.000	0.000	-0.006	69.981	0.000
Jan 2	7:00	0.000	0.000	0.006	0.000	0.006	0.000	0.000	0.000	0.007	0.006	0.000	0.000	-0.007	67.138	0.000
Jan 2	8:00	0.036	0.036	0.009	0.001	0.009	0.000	0.000	0.000	0.011	0.009	0.000	0.000	-0.009	63.436	0.000
Jan 2	9:00	0.134	0.133	0.004	0.004	0.004	0.000	0.000	0.000	0.004	0.004	0.000	0.000	-0.000	63.409	0.000
Jan 2	10:00	0.319	0.315	0.001	0.010	0.001	0.000	0.000	0.000	0.002	0.001	0.000	0.000	0.009	66.088	0.000
Jan 2	11:00	0.643	0.619	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.020	72.327	0.000
Jan 2	12:00	0.914	0.878	0.002	0.028	0.002	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.026	80.435	0.000
Jan 2	13:00	1.010	0.972	0.008	0.031	0.008	0.000	0.000	0.000	0.009	0.008	0.000	0.000	0.022	87.466	0.000
Jan 2	14:00	0.905	0.873	0.008	0.028	0.008	0.000	0.000	0.000	0.009	0.008	0.000	0.000	0.018	93.286	0.000
Jan 2	15:00	0.981	0.942	0.002	0.030	0.002	0.017	0.000	0.000	0.002	0.002	0.000	0.000	0.011	96.770	0.000
Jan 2	16:00	0.662	0.636	0.000	0.020	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.005	98.407	0.000
Jan 2	17:00	0.179	0.178	0.002	0.006	0.002	0.001	0.000	0.000	0.002	0.002	0.000	0.000	0.003	99.215	0.000
Jan 2	18:00	0.233	0.224	0.005	0.007	0.005	0.001	0.000	0.000	0.005	0.005	0.000	0.000	0.001	99.613	0.000
Jan 2	19:00	0.083	0.075	0.000	0.002	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.001	99.809	0.000
Jan 2	20:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.809	0.000
Jan 2	21:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.809	0.000
Jan 2	22:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.809	0.000
Jan 2	23:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.809	0.000
Jan 3	0:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.809	0.000
Jan 3	1:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.809	0.000
Jan 3	2:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.809	0.000
Jan 3	3:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.809	0.000
Jan 3	4:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.809	0.000
Jan 3	5:00	0.000	0.000	0.006	0.000	0.006	0.000	0.000	0.000	0.006	0.006	0.000	0.000	-0.006	97.360	0.000
Jan 3	6:00	0.000	0.000	0.002	0.000	0.002	0.000	0.000	0.000	0.003	0.002	0.000	0.000	-0.003	96.355	0.000
Jan 3	7:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.355	0.000
Jan 3	8:00	0.116	0.088	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	97.239	0.000
Jan 3	9:00	0.322	0.296	0.003	0.009	0.003	0.001	0.000	0.000	0.004	0.003	0.000	0.000	0.005	98.746	0.000
Jan 3	10:00	0.518	0.491	0.007	0.016	0.007	0.006	0.000	0.000	0.008	0.007	0.000	0.000	0.002	99.382	0.000
Jan 3	11:00	0.842	0.803	0.006	0.026	0.006	0.018	0.000	0.000	0.006	0.006	0.000	0.000	0.001	99.695	0.000
Jan 3	12:00	1.062	1.019	0.002	0.033	0.002	0.030	0.000	0.000	0.003	0.002	0.000	0.000	0.000	99.850	0.000
Jan 3	13:00	1.155	1.112	0.011	0.036	0.011	0.023	0.000	0.000	0.012	0.011	0.000	0.000	0.000	99.926	0.000
Jan 3	14:00	1.155	1.111	0.004	0.036	0.004	0.031	0.000	0.000	0.005	0.004	0.000	0.000	0.000	99.963	0.000
Jan 3	15:00	1.030	0.988	0.009	0.032	0.009	0.022	0.000	0.000	0.010	0.009	0.000	0.000	0.000	99.982	0.000
Jan 3	16:00	0.775	0.740	0.008	0.024	0.008	0.015	0.000	0.000	0.008	0.008	0.000	0.000	0.000	99.991	0.000
Jan 3	17:00	0.546	0.516	0.008	0.017	0.008	0.008	0.000	0.000	0.009	0.008	0.000	0.000	0.000	99.996	0.000
Jan 3	18:00	0.281	0.264	0.007	0.008	0.007	0.001	0.000	0.000	0.007	0.007	0.000	0.000	0.000	99.998	0.000
Jan 3	19:00	0.095	0.081	0.004	0.003	0.004	0.000	0.000	0.000	0.004	0.004	0.000	0.000	-0.002	99.403	0.000
Jan 3	20:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.403	0.000
Jan 3	21:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.403	0.000
Jan 3	22:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.403	0.000
Jan 3	23:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.403	0.000
Jan 4	0:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.403	0.000
Jan 4	1:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.403	0.000
Jan 4	2:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.403	0.000
Jan 4	3:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.403	0.000
Jan 4	4:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	99.316	0.000
Jan 4	5:00	0.000	0.000	0.006	0.000	0.006	0.000	0.000	0.000	0.007	0.006	0.000	0.000	-0.007	96.692	0.000
Jan 4	6:00	0.000	0.000	0.005	0.000	0.005	0.000	0.000	0.000	0.006	0.005	0.000	0.000	-0.006	94.462	0.000
Jan 4	7:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	94.462	0.000
Jan 4	8:00	0.019	0.019	0.004	0.001	0.004	0.000	0.000	0.000	0.004	0.004	0.000	0.000	-0.003	93.131	0.000
Jan 4	9:00	0.082	0.081	0.004	0.003	0.004	0.000	0.000	0.000	0.005	0.004	0.000	0.000	-0.002	92.188	0.000
Jan 4	10:00	0.174	0.173	0.007	0.006	0.007	0.000	0.000	0.000	0.007	0.007	0.000	0.000	-0.002	91.442	0.000
Jan 4	11:00	0.115	0.115	0.005	0.004	0.005	0.000	0.000	0.000	0.006	0.005	0.000	0.000	-0.002	90.576	0.000
Jan 4	12:00	0.019	0.019	0.000	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	90.576	0.000
Jan 4	13:00	0.108	0.108	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	91.663	0.000
Jan 4	14:00	0.242	0.241	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	94.096	0.000
Jan 4	15:00	0.036	0.036	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	94.457	0.000
Jan 4	16:00	0.063	0.063	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	95.093	0.000
Jan 4	17:00	0.047	0.047	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	95.563	0.000
Jan 4	18:00	0.037	0.037	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	95.937	0.000
Jan 4	19:00	0.098	0.083	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	96.777	0.000
Jan 4	20:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 4	21:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 4	22:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 4	23:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 5	0:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 5	1:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 5	2:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 5	3:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 5	4:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 5	5:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 5	6:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 5	7:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 5	8:00	0.027	0.026	0.000	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.777	0.000
Jan 5	9:00	0.072	0.072	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	97.500	0.000
Jan 5	10:00	0.082	0.082	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	98.328	0.000
Jan 5	11:00	0.132	0.132	0.000	0.004	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.003	99.225	0.000
Jan 5	12:00	0.116	0.116	0.000	0.004	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.001	99.618	0.000
Jan 5	13:00	0.198	0.197	0.000	0.006	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.001	99.812	0.000
Jan 5	14:00	0.027	0.027	0.000	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.812	0.000
Jan 5	15:00	0.134	0.134	0.000	0.004	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.916	0.000
Jan 5	16:00	0.153	0.152	0.000	0.005	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.959	0.000
Jan 5	17:00	0.125	0.124	0.000	0.004	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.980	0.000
Jan 5	18:00	0.062	0.062	0.000	0.002	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.990	0.000
Jan 5	19:00	0.097	0.084	0.000	0.003	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 5	20:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 5	21:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 5	22:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 5	23:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 6	0:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 6	1:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 6	2:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 6	3:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 6	4:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 6	5:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 6	6:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 6	7:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 6	8:00	0.091	0.075	0.000	0.002	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.998	0.000
Jan 6	9:00	0.388	0.352	0.000	0.011	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.999	0.000
Jan 6	10:00	0.691	0.650	0.000	0.021	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.999	0.000
Jan 6	11:00	0.838	0.800	0.000	0.026	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 6	12:00	0.914	0.879	0.000	0.028	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 6	13:00	0.994	0.957	0.000	0.031	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 6	14:00	1.098	1.057	0.000	0.034	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 6	15:00	0.982	0.943	0.000	0.030	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 6	16:00	0.869	0.829	0.000	0.027	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 6	17:00	0.672	0.633	0.000	0.020	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 6	18:00	0.305	0.285	0.000	0.009	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 6	19:00	0.074	0.070	0.000	0.002	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 6	20:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 6	21:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
